DOMINIO,AREA,UPM,FACTOR,NUM_HOGAR,ID,PPA02,PPA03,PPA04A,PPA04B,PPA04C,PPA05,PPA06,PPA07,PPA08,PPA09,PPA10A,PPA10B,PPA11,PPA12,P03A01,P03A05A,P03A06,P03C05,P03C06,P03D03,P03D04,P03D05,P03D06,P04A02,P04C02B_2D,P04C02B_1D,P04C04B_2D,P04C04B_1D,P04C06,P04C09B,P04C10,P04C14A,P04C15A,P04C25A,P04C27,P04C33,P04C36,P04C37,P05A17A,etnicidad,PET,PEA,OCUPADOS,DESOCUPADOS,SUBVISIBLES,INACTIVOS,FORMAL_INFORMAL
1,1,3,337,35,2,2,31,27,4,1988,2,3, ,25,1,2, ,2,1,1,5,6099, , , , , , ,4,75,7,15,2,5, , , , ,2,12, , , ,2,2,1,1,1, ,1, ,2
1,1,4,397,56,1,1,36,21,12,1982,1,3, ,25,2,2, , ,1,1,5,6099, , , , , , ,1,23,2,85,9,2, ,6000,1,1,1,1,2,2, ,2,2,1,1,1, , , ,2
1,1,18,454,262,1,1,74,2,3,1944,1,3, ,25,2,2, , ,1,1,5,6099, , , , , , ,1,71,7,42,3,2, ,16000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,19,377,275,1,1,42,3,4,1977,1,3, ,25,2,2, , ,1,1,5,6099, , , , , , ,1,31,3,13,2,2, ,6000,1,2,1,1,2,2, ,2,2,1,1,1, , , ,2
1,1,24,398,356,3,1,33,15,5,1986,3,3, ,25,2,1,2, ,1,1,5,6099, , , , , , ,1,23,2,85,9,2, ,15000,1,1,2,1,3,2, ,2,2,1,1,1, , , ,2
1,1,24,398,356,5,1,24,18,2,1995,3,3, ,25,2,1,2, ,1,1,5,6099,2, ,1,1,1,1,1,21,2,41,3,2, ,9000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,45,199,695,1,1,67,15,9,1951,1,4, ,26,2,2, , ,1,1,5,6099, , , , , , ,1,23,2,85,9,2, ,5000,2,2,4,1,3,2, ,2,2,1,1,1, ,1, ,2
1,1,45,199,695,3,1,37,27,10,1981,3,3, ,25,7,1,2, ,1,1,5,6099, , , , , , ,1,31,3,61,5,2, ,5000,1,1,1,3,2,2, ,2,2,1,1,1, , , ,2
1,1,77,1355,1212,2,1,40,4,12,1978,2,3, ,25,2,2, , ,1,1,5,6099, , , , , , ,1,23,2,85,9,1, ,3300,1,1,4,1,2,2, ,2,2,1,1,1, , , ,2
3,2,215,968,3239,1,1,41,13,4,1978,1,3, ,25,2,2, , ,1,1,5,6099, , , , , , ,1,74,7,61,5,2, ,6000,2,2,4,7,2,1,1,2,2,1,1,1, , , ,2
3,2,286,646,4188,1,1,32,18,10,1986,1,3, ,25,2,2, , ,1,1,5,6099, , , , , , ,1,52,5,47,4,2, ,4500,1,1,1,1,2,2, ,2,2,1,1,1, , , ,2
3,2,297,802,4315,3,1,32,25,3,1987,3,5,17,17,7,1,2, ,1,1,5,6099, , , , , , ,1,74,7,81,8,2, ,8900,1,1,1,1,3,2, ,2,1,1,1,1, , , ,2
3,2,320,561,4607,1,1,41,20,5,1977,1,3, ,25,2,2, , ,1,1,5,6099, , , , , , ,1,61,6,1,1,7, , , , ,4,2, , , ,2,2,1,1,1, , , ,2
1,1,10,779,146,1,1,41,11,6,1977,1,3, ,25,1,2, , ,1,1,5,6027, , , , , , ,1,52,5,47,4,2, ,8000,1,1,1,1,2,2, ,2,2,1,1,1, , , ,2
1,1,14,352,201,4,1,32,24,1,1987,3,3, ,25,7,1,2, ,1,1,5,6027, , , , , , ,1,31,3,84,9,2, ,5000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,1
1,1,17,499,248,3,2,26,20,11,1992,3,3, ,25,7,1,2,0,1,1,5,6027,2, ,1,1,4,1,1,35,3,62,5,2, ,8000,1,1,1,8,3,2, ,2,2,1,1,1, , , ,2
1,1,18,454,261,1,1,27,25,1,1991,1,3, ,25,7,2, , ,1,1,5,6027,1,1,1,1,4,1,1,14,1,64,6,2, ,8000,1,1,1,1,2,2, ,2,2,1,1,1, , , ,2
1,1,22,462,317,1,1,65,12,2,1954,1,3, ,25,2,2, , ,1,1,5,6027, , , , , , ,1,23,2,85,9,1, ,25000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,27,504,401,2,1,26,3,5,1993,3,3, ,25,7,1,1, ,1,1,5,6027,2, ,1,1,4,1,1,23,2,82,8,2, ,7000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,27,504,401,3,1,25,29,8,1994,3,3, ,25,7,1,1, ,1,1,5,6027,2, ,1,1,4,1,1,35,3,62,5,2, ,6000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,59,490,936,4,1,40,10,7,1978,4,3, ,25,2,2, , ,1,1,5,6027, , , , , , ,1,21,2,62,5,2, ,10000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,99,409,1590,3,1,32,27,9,1986,3,3, ,25,7,1,2, ,1,1,5,6027, , , , , , ,1,81,8,61,5,2, ,8500,1,1,1,1,2,1,1,2,2,1,1,1, , , ,2
3,2,118,587,1875,1,1,50,20,1,1969,1,3, ,25,2,2, , ,1,1,5,6027, , , , , , ,1,24,2,82,8,5, , , , ,4,1, , , ,2,2,1,1,1, , , ,2
3,2,217,694,3272,4,1,29,12,9,1989,3,3, ,25,2,1,2, ,1,1,5,6027,1,1,1,1,4,1,1,35,3,78,8,2, ,5000,2,2,1,1,2,2, ,2,2,1,1,1, , , ,2
3,2,305,899,4397,3,1,30,5,5,1989,3,3, ,25,7,1,2, ,1,1,5,6025, , , , , , ,1,32,3,75,8,2, ,2500,2,2,4,1,3,2, ,2,2,1,1,1, ,1, ,2
1,1,5,568,67,3,1,29,15,6,1989,3,3, ,25,7,1,2, ,1,1,5,6017,2, ,1,1,4,1,1,21,2,46,4,2, ,8000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
2,1,157,1108,2420,3,1,32,10,10,1986,3,3, ,25,7,1,2, ,1,1,5,6017, , , , , , ,1,35,3,47,4,2, ,8000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,100,684,1600,3,1,25,14,5,1994,3,3, ,25,7,1,2, ,1,1,5,6015,1,3,1,1,1,1,1,21,2,45,4,2, ,5000,2,2,4,1,3,2, ,2,2,1,1,1, , , ,2
2,1,339,744,4848,1,1,45,2,9,1973,1,3, ,25,2,2, , ,1,1,5,6015, , , , , , ,1,24,2,84,9,1,2,12000,1,1,1,1,4,2, ,2,2,1,1,1, , , ,2
1,1,117,953,1861,1,1,33,12,4,1986,1,3, ,25,2,2, , ,1,1,5,6014, , , , , , ,1,72,7,45,4,6, , , , ,4,11, , , ,2,2,1,1,1, , , ,2
1,1,10,779,147,4,1,31,5,6,1988,3,3, ,25,7,1,2, ,1,1,5,6010, , , , , , ,1,31,3,23,2,2, ,15000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,45,199,692,2,1,61,20,12,1957,2,3, ,25,2,2, , ,1,1,5,6010, , , , , , ,1,21,2,47,4,2, ,7600,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,59,490,934,1,1,48,11,6,1970,1,3, ,25,3,2, , ,1,1,5,6010, , , , , , ,1,72,7,25,2,6, , , , ,4,1, , , ,2,2,1,1,1, , , ,2
1,1,63,430,992,1,1,45,1,9,1973,1,3, ,25,2,2, , ,1,1,5,6010, , , , , , ,1,23,2,85,9,2, ,3500,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,86,234,1373,3,1,25,29,11,1993,3,3, ,25,7,1,2, ,1,1,5,6010,2, ,1,1,1,1,1,31,3,11,2,2, ,7500,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,100,684,1593,1,1,44,13,1,1975,1,3, ,25,2,2, , ,1,1,5,6010, , , , , , ,1,21,2,11,2,2, ,10000,1,1,1,1,3,1,1,2,2,1,1,1, , , ,2
1,1,100,684,1605,1,1,40,5,5,1979,1,5,10,10,1,2, , ,1,1,5,6010, , , , , , ,1,31,3,11,2,2, ,10000,1,1,1,1,3,1,1,2,1,1,1,1, ,1, ,2
2,1,150,493,2341,4,1,29,20,5,1990,3,3, ,25,7,1,2, ,1,1,5,6010,2, ,1,1,4,1,1,52,5,47,4,6, , , , ,4,1, , , ,2,2,1,1,1, , , ,2
3,2,179,638,2713,5,1,30,24,4,1989,4,5,10,10,2,2, , ,1,1,5,6010, , , , , , ,1,24,2,46,4,2, ,8000,1,1,1,11,2,1,1,2,1,1,1,1, , , ,2
3,2,328,611,4696,3,2,24,28,4,1995,3,3, ,25,7,1,2,0,1,1,5,6010,1,3,1,1,4,1,1,31,3,11,2,2, ,5700,2,2,1,1,12,2, ,2,2,1,1,1, , , ,2
1,1,10,779,140,1,1,36,17,12,1981,1,3, ,25,2,2, , ,1,1,5,6002, , , , , , ,1,71,7,72,8,2,1,5000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
1,1,50,3015,776,3,1,32,5,9,1986,3,3, ,25,7,1,2, ,1,1,5,6002, , , , , , ,1,61,6,84,9,1,2,15000,2,2,4,7,2,2, ,2,2,1,1,1, , , ,2
1,1,63,430,997,1,1,35,30,9,1983,1,3, ,25,5,1,2, ,1,1,5,6002, , , , , , ,1,92,9,1,1,2, ,15000,1,1,1,1,3,2, ,2,2,1,1,1, , , ,2
3,2,118,587,1874,1,1,79,8,10,1939,1,3, ,25,2,2, , ,1,1,5,6002, , , , , , ,1,21,2,74,1,5, , , , ,4,1, , , ,2,2,1,1,1, , , ,2
3,2,140,668,2195,1,1,54,30,12,1964,1,3, ,25,1,2, , ,1,1,5,6002, , , , , , ,1,62,6,41,3,2, ,10000,1,1,1,7,3,2, ,2,2,1,1,1, , , ,2
3,2,144,766,2246,1,1,64,2,4,1955,1,3, ,25,2,2, , ,1,1,5,6002, , , , , , ,5,61,6,1,1,8, , , , ,2,7, , , ,2,2,1,1,1, , , ,2
3,2,148,504,2305,2,1,65,3,6,1953,2,3, ,25,1,2, , ,1,1,5,6002, , , , , , ,1,23,2,85,9,2, ,4000,1,1,4,1,4,2, ,2,2,1,1,1, , , ,2
2,1,186,654,2817,2,1,29,21,3,1990,3,5,10,25,7,1,1, ,1,1,5,6002,2, ,1,1,4,1,1,23,2,46,4,2, ,3500,2,2,1,1,4,2, ,2,1,1,1,1, , , ,2
3,2,188,653,2850,1,1,40,5,2,1979,1,3, ,25,2,1,5, ,1,1,5,6002, , , , , , ,1,23,2,20,2,2, ,7000,1,1,1,8,2,2, ,2,2,1,1,1, , , ,2
3,2,216,1250,3254,3,2,26,26,12,1992,3,3, ,25,7,1,2,0,1,1,5,6002,2, ,1,1,2,1,1,53,5,1,1,2, ,3000,2,2,4,7,2,2, ,2,2,1,1,1, , , ,2
3,2,216,1250,3254,4,1,25,15,10,1993,3,3, ,25,7,1,2, ,1,1,5,6002,2, ,1,1,2,1,1,61,6,1,1,3, ,2000,2,2,4,1,2,2, ,2,2,1,1,1, , , ,1
2,1,233,793,3492,3,1,29,8,12,1989,3,3, ,25,7,1,2, ,1,1,5,6002,2, ,1,1,4,1,1,26,2,74,8,2, ,8000,1,1,1,1,3,1,1,2,2,1,1,1, , , ,2
3,2,247,751,3677,1,1,49,11,6,1969,1,3, ,25,2,2, , ,1,1,5,6002, , , , , , ,1,52,5,1,1,8, , , , ,4,7, , , ,2,2,1,1,1, , , ,2
2,1,255,1271,3774,1,1,49,6,5,1970,1,3, ,25,2,2, , ,1,1,5,6002, , , , , , ,1,14,1,47,4,5, , , , ,4,12, , , ,2,2,1,1,1, , , ,2
